Sex,Age,Height,Weight,Shoe number,Trouser number
Female,53,154,59,36,40
Male,23,170,56,40,38
Female,23,167,63,37,40
Male,21,178,78,40,40
Female,25,153,58,36,38
Male,28,180,89,43,46
Male,23,183,68,42,38
Male,32,174,83,40,44
Female,24,160,70,37,42
Female,22,156,56,36,40
Female,25,170,65,37,40
Male,29,183,66,40,42
Male,26,180,78,41,40
Female,20,173,75,40,42
Female,27,152,47,34,34
Male,21,180,68,40,38
Male,30,172,65,40,40
Male,21,177,99,42,44
Female,26,176,80,40,40
Female,55,164,62,36,38
Female,37,170,60,36,38
Male,22,180,84,42,40
Male,25,194,91,45,42
Male,21,168,60,40,41
Female,3,100,15,24,20
Male,35,178,85,43,45
Male,27,163,56,38,36
Male,62,171,62,41,42
Male,24,182,69,40,38
Female,31,155,78,35,44
Male,23,178,60,40,38
Female,19,158,48,36,36
Male,26,170,66,38,38
Male,58,177,85,43,46
Male,49,172,101,40,52
Male,27,180,74,42,40
Female,22,164,52,37,44
Female,20,158,52,35,36
Male,22,172,80,41,46
Male,29,166,72,42,44
Male,21,168,75,39,40
Male,22,177,78,42,M
Male,20,169,61,38,36
Male,20,192,74,44,42
Male,18,166,70,41,40
Male,30,186,90,44,46
Male,22,174,66,40,39
Male,22,173,79,42,40
Male,26,173,80,39,42
Female,56,160,65,35,38
Female,31,172,90,39,G
Female,23,167,69,35,42
Male,20,171,58,40,42
Male,23,170,63,40,38
Male,20,179,62,42,42
Male,62,162,73,42,40
Female,25,161,55,36,38
Female,57,157,65,36,42
Female,20,163,62,37,40
Male,21,168,75,40,42
Female,21,155,48,34,34
Female,26,164,59,36,36
Male,21,183,74,39,38
Male,20,186,80,44,46
Male,19,173,51,42,37
Male,27,185,90,44,54
Male,26,155,58,37,36
Male,22,171,117,41,46
Male,21,183,77,41,42
Male,22,174,75,40,40
Male,20,174,56,39,38
Female,19,155,50,37,38
Female,49,165,67,37,40
Male,21,170,93,40,44
Male,27,172,70,41,40
Male,21,181,76,40,38
Male,35,178,85,40,46
Female,57,160,50,38,42
Female,30,172,86,39,46
Female,45,172,96,38,48
Male,59,163,63,38,40
Female,25,164,56,37,38
Male,20,172,90,40,34
Male,48,170,95,40,48
Male,22,190,130,46,46
Male,21,176,70,41,40
Male,28,190,83,46,44
Male,19,169,70,42,42
Male,29,173,64,40,38
Female,58,164,57,37,39
Male,20,173,54,40,38
Male,25,172,69,38,40
Male,20,176,53,40,36
Male,8,128,28,33,12
Female,31,161,62,36,38
Male,21,170,68,40,44
Female,58,175,73,39,44
Female,58,150,54,36,38
Male,22,183,75,42,40
Male,25,180,85,43,46
Male,23,176,62,41,38
Male,56,167,69,37,44
Male,22,180,55,42,40
Male,29,184,82,44,32
Male,22,180,84,43,48
Male,22,174,52,40,36
Female,29,164,64,38,38
Male,20,175,73,41,40
Male,19,180,86,43,46
Male,20,176,77,41,42
Male,20,179,64,40,40
Male,22,180,65,41,40
Female,52,157,55,35,38
Female,21,158,50,36,38
Male,24,183,98,44,46
Male,22,171,77,41,42
Male,23,175,51,43,40
Male,19,164,66,39,S
Male,20,175,83,41,44
Male,21,168,61,39,30
Male,23,170,80,40,40
Male,23,170,81,40,42
Male,21,181,76,42,46
Male,41,175,78,40,42
Male,21,170,70,39,38
Male,23,172,75,41,42
Female,25,173,72,38,42
Female,52,174,80,39,46
Male,54,183,90,42,52
Male,21,162,53,39,36
Male,21,175,70,41,38
Male,25,164,60,39,38
Male,26,169,75,41,48
Female,26,65,159,36,36
Male,23,182,95,43,48
Male,20,175,64,42,40
Male,21,175,82,42,42
Male,26,165,60,39,38
Male,21,177,78,41,42
Male,24,181,77,40,38
Male,32,185,95,42,44
Male,23,176,73,42,42
Male,22,180,106,45,46
Female,21,163,74,36,42
Female,30,167,63,37,38
Male,22,176,50,41,38
Male,20,178,65,42,40
Female,23,174,115,39,52
Female,23,159,51,34,31
Male,30,175,68,40,36
Male,30,175,67,40,36
Male,27,163,50,39,31
Male,27,175,100,43,44
Female,21,159,61,34,38
Male,28,176,72,43,40
Male,20,184,87,43,44
Male,25,170,85,40,44
Female,20,169,55,37,38
Male,30,180,85,41,34
Male,23,170,70,41,38
Male,22,184,93,42,38
Female,22,167,61,36,34
Female,58,153,53,34,32
Male,21,162,50,37,28
Male,22,190,75,45,40
Female,59,170,60,36,42
Male,58,169,65,40,38
Male,30,175,80,43,42
Male,33,171,83,40,44
Male,25,177,70,41,40
Male,26,170,75,40,42
Male,21,165,60,39,40
Male,20,172,58,40,38
Male,22,171,68,41,42
Male,26,175,82,43,42
Male,31,187,84,42,42
Male,27,174,84,40,44
Male,60,183,95,44,48
Male,40,183,79,43,40
Male,20,179,61,43,43
Male,19,169,67,41,41
Male,29,173,82,40,44
Male,24,170,65,41,40
Male,24,185,120,43,48
Male,21,187,90,44,40
Male,22,175,72,40,38
Male,20,175,74,42,43
Male,19,178,76,41,42
Male,28,174,95,41,44
Male,26,175,75,40,38
Male,25,183,83,43,44
Male,35,180,95,42,42
Female,32,165,53,37,38
Female,66,163,100,39,50
Male,67,179,65,39,40
Male,36,174,110,42,54
Female,20,165,41,36,26
Female,21,163,57,36,38
Male,31,178,68,42,40
Male,27,172,65,40,31
Male,17,168,51,38,36
Male,30,160,62,40,38
